label,target,count
0,alpine sea holly,23
1,anthurium,152
2,artichoke,153
3,azalea,177
4,balloon flower,116
5,barberton daisy,82
6,bee balm,143
7,bird of paradise,136
8,bishop of llandaff,75
9,black-eyed susan,120
10,blackberry lily,32
11,blanket flower,31
12,bolero deep blue,23
13,bougainvillea,169
14,bromelia,44
15,buttercup,337
16,californian poppy,71
17,camellia,164
18,canna lily,59
19,canterbury bells,26
20,cape flower,74
21,carnation,136
22,cautleya spicata,35
23,clematis,130
24,colt's foot,56
25,columbine,145
26,common dandelion,727
27,common tulip,504
28,corn poppy,107
29,cosmos,26
30,cyclamen ,189
31,daffodil,124
32,daisy,545
33,desert-rose,40
34,fire lily,25
35,foxglove,180
36,frangipani,198
37,fritillary,62
38,garden phlox,31
39,gaura,115
40,gazania,134
41,geranium,81
42,giant white arum lily,34
43,globe thistle,108
44,globe-flower,27
45,grape hyacinth,109
46,great masterwort,34
47,hard-leaved pocket orchid,33
48,hibiscus,173
49,hippeastrum ,137
50,iris,1010
51,japanese anemone,37
52,king protea,119
53,lenten rose,94
54,lilac hibiscus,48
55,lotus,180
56,love in the mist,30
57,magnolia,155
58,mallow,129
59,marigold,162
60,mexican petunia,53
61,monkshood,112
62,moon orchid,23
63,morning glory,395
64,orange dahlia,46
65,osteospermum,42
66,passion flower,154
67,peruvian lily,64
68,petunia,259
69,pincushion flower,124
70,pink primrose,351
71,pink quill,31
72,pink-yellow dahlia,75
73,poinsettia,142
74,primula,148
75,prince of wales feathers,27
76,purple coneflower,71
77,red ginger,25
78,rose,594
79,ruby-lipped cattleya,47
80,siam tulip,24
81,silverbush,36
82,snapdragon,176
83,spear thistle,340
84,spring crocus,27
85,stemless gentian,44
86,sunflower,594
87,sweet pea,27
88,sweet william,141
89,sword lily,81
90,thorn apple,161
91,tiger lily,112
92,toad lily,111
93,tree mallow,38
94,tree poppy,121
95,trumpet creeper,40
96,wallflower,222
97,water lily,216
98,watercress,124
99,wild geranium,908
100,wild pansy,135
101,wild rose,959
102,windflower,336
103,yellow iris,293
